Номер,Файл_Excel,Sheet_ID,Название_проекта,Google_Sheets_URL,Статус_поиска
1,google_sheet_20250923_094851.xlsx,google_sheet_20250923_094851,,,Не найдена
2,google_sheet_20250923_094858.xlsx,google_sheet_20250923_094858,,,Не найдена
3,google_sheet_20250923_094907.xlsx,google_sheet_20250923_094907,,,Не найдена
4,google_sheet_20250923_094914.xlsx,google_sheet_20250923_094914,,,Не найдена
5,google_sheet_20250923_094920.xlsx,google_sheet_20250923_094920,,,Не найдена
6,google_sheet_20250923_094925.xlsx,google_sheet_20250923_094925,,,Не найдена
7,google_sheet_20250923_094933.xlsx,google_sheet_20250923_094933,,,Не найдена
8,google_sheet_20250923_094946.xlsx,google_sheet_20250923_094946,,,Не найдена
9,google_sheet_20250923_094954.xlsx,google_sheet_20250923_094954,,,Не найдена
10,google_sheet_20250923_095001.xlsx,google_sheet_20250923_095001,,,Не найдена
11,google_sheet_20250923_095025.xlsx,google_sheet_20250923_095025,,,Не найдена
12,google_sheet_20250923_095032.xlsx,google_sheet_20250923_095032,,,Не найдена
13,google_sheet_20250923_095040.xlsx,google_sheet_20250923_095040,,,Не найдена
14,google_sheet_20250923_095047.xlsx,google_sheet_20250923_095047,,,Не найдена
15,google_sheet_20250923_095052.xlsx,google_sheet_20250923_095052,,,Не найдена
16,google_sheet_20250923_095126.xlsx,google_sheet_20250923_095126,,,Не найдена
17,google_sheet_20250923_095133.xlsx,google_sheet_20250923_095133,,,Не найдена
18,google_sheet_20250923_095143.xlsx,google_sheet_20250923_095143,,,Не найдена
19,google_sheet_20250923_100041.xlsx,google_sheet_20250923_100041,,,Не найдена
20,google_sheet_20250923_100121.xlsx,google_sheet_20250923_100121,,,Не найдена
21,google_sheet_20250923_151725.xlsx,google_sheet_20250923_151725,,,Не найдена
22,google_sheet_20250923_151729.xlsx,google_sheet_20250923_151729,,,Не найдена
23,google_sheet_20250923_151737.xlsx,google_sheet_20250923_151737,,,Не найдена
24,google_sheet_20250923_151800.xlsx,google_sheet_20250923_151800,,,Не найдена
25,google_sheet_20250923_151811.xlsx,google_sheet_20250923_151811,,,Не найдена
26,google_sheet_20250923_151819.xlsx,google_sheet_20250923_151819,,,Не найдена
27,google_sheet_20250923_151824.xlsx,google_sheet_20250923_151824,,,Не найдена
28,google_sheet_20250923_151834.xlsx,google_sheet_20250923_151834,,,Не найдена
29,google_sheet_20250923_151843.xlsx,google_sheet_20250923_151843,,,Не найдена
30,google_sheet_20250923_151856.xlsx,google_sheet_20250923_151856,,,Не найдена
31,google_sheet_20250923_151904.xlsx,google_sheet_20250923_151904,,,Не найдена
32,google_sheet_20250923_151915.xlsx,google_sheet_20250923_151915,,,Не найдена
33,google_sheet_20250923_151924.xlsx,google_sheet_20250923_151924,,,Не найдена
34,google_sheet_20250923_151933.xlsx,google_sheet_20250923_151933,,,Не найдена
35,google_sheet_20250923_151942.xlsx,google_sheet_20250923_151942,,,Не найдена
36,google_sheet_20250923_151947.xlsx,google_sheet_20250923_151947,,,Не найдена
37,google_sheet_20250923_151958.xlsx,google_sheet_20250923_151958,,,Не найдена
